old,new,ps,pr
Исаия 66:1-24 02,Флп. 3:4-21,Пс. 73:1-23,Прит. 24:15-16
Иер. 1:1-2:30,Флп. 4:1-23,Пс. 74:1-11,Прит. 24:17-20
Иер. 2:31-4:18,Кол. 1:1-17,Пс. 75:1-13,Прит. 24:21-22
Иер. 4:19-6:15,Кол. 1:18-2:7,Пс. 76:1-21,Прит. 24:23-25
Иер. 6:16-8:7,Кол. 2:8-23,Пс. 77:1-31,Прит. 24:26
Иер. 8:8-9:26,Кол. 3:1-17,Пс. 77:32-55,Прит. 24:27
Иер. 10:1-11:23,Кол. 3:18-4:18,Пс. 77:56-72,Прит. 24:28-29
Иер. 12:1-14:10,1Фес. 1:1-2:8,Пс. 78:1-13,Прит. 24:30-34
Иер. 14:11-16:15,1Фес. 2:9-3:13,Пс. 79:1-19,Прит. 25:1-5
Иер. 16:16-18:23,1Фес. 4:1-5:3,Пс. 80:1-17,Прит. 25:6-8
Иер. 19:1-21:14,1Фес. 5:4-28,Пс. 81:1-8,Прит. 25:9-10
Иер. 22:1-23:20,2Фес. 1:1-12,Пс. 82:1-18,Прит. 25:11-14
Иер. 23:21-25:38,2Фес. 2:1-17,Пс. 83:1-13,Прит. 25:15
Иер. 26:1-27,2Фес. 3:1-18,Пс. 84:1-14,Прит. 25:16
Иер. 28:1-29:32,1Тим. 1:1-20,Пс. 85:1-17,Прит. 25:17
Иер. 30:1-31:26,1Тим. 2:1-15,Пс. 86:1-7,Прит. 25:18-19
Иер. 31:27-32:44,1Тим. 3:1-16,Пс. 87:1-18,Прит. 25:20-22
Иер. 33:1-34:22,1Тим. 4:1-16,Пс. 88:1-14,Прит. 25:23-24
Иер. 35:1-36:32,1Тим. 5:1-25,Пс. 88:14-37,Прит. 25:25-27
Иер. 37:1-38:28,1Тим. 6:1-21,Пс. 88:38-52,Прит. 25:28
Иер. 39:1-41:18,2Тим. 1:1-18,Пс. 89:1-91:16,Прит. 26:1-2
Иер. 42:1-44:23,2Тим. 2:1-21,Пс. 91:1-92,Прит. 26:3-5
Иер. 44:24-47:7,2Тим. 2:22-3:17,Пс. 93:1-23,Прит. 26:6-8
Иер. 48:1-49:22,2Тим. 4:1-22,Пс. 94:1-95:13,Прит. 26:9-12
Иер. 49:23-50:46,Титу 1:1-16,Пс. 96:1-97:9,Прит. 26:13-16
Иер. 51:1-53,Титу 2:1-15,Пс. 98:1-9,Прит. 26:17
Иер. 51:54-52:34,Титу 3:1-15,Пс. 99:1-5,Прит. 26:18-19
Пл.Иер. 1:1-2:22,Филимону 1:1-25,Пс. 100:1-8,Прит. 26:20
